id,rz,spp,gen,nub,vol_ml,tot_zoox,zoox_cm2,tank,pco2,temp,time,sur_area,perchg_day_bw,prot_mg_cm2,chlA_ug_cm2,chlA_ug_zoox,chlA_pg_zoox,carbs_mg_mL,carbs_sd,treatment,gen_rz,Growthmg.cm2.day
SFPX10,F,P,X,10,32,1152000,142772.881,400_31_1,400,31,T60,8.068759223,0.000174084,0.104105226,24.12385779,0.000168967,169,1.194705796,0.547070869,"424uatm, 31°C",X_F,-0.117217833
SFPX11,F,P,X,11,13,19630000,2055859.376,400_31_1,400,31,T30,9.548318444,0.00122828,0.612673324,7.93391218,3.86E-06,3.86,2.186618323,1.071251394,"424uatm, 31°C",X_F,0.99987688
SFPX12,F,P,X,12,10,1400000,132342.3447,400_31_1,400,31,T90,10.57862473,0.000245895,0.126040328,3.249057499,2.46E-05,24.6,1.604310537,0.162942773,"424uatm, 31°C",X_F,-0.954328576
SFPX17,F,P,X,17,14,68936000,6897505.586,700_31_1,700,31,T0,9.994337683,NA,0.443584505,9.49235087,1.38E-06,1.38,2.443738181,0.837893084,"606uatm, 31°C",X_F,NA
SFPX18,F,P,X,18,9,1728000,153110.7846,700_31_1,700,31,T90,11.28594569,0.00062835,0.392080568,1.973314476,1.29E-05,12.9,1.841320696,0.94246177,"606uatm, 31°C",X_F,-0.049747222
SFPX19,F,P,X,19,27.5,2860000,228693.045,700_31_1,700,31,T60,12.50584599,0.000865026,0.494768607,3.15500447,1.38E-05,13.8,0.442905585,0.067410807,"606uatm, 31°C",X_F,0.312479501
SFPX20,F,P,X,20,10,14020000,1295130.269,700_31_1,700,31,T30,10.82516588,0.000869454,0.300226346,3.855430989,2.98E-06,2.98,1.594433444,0.210236699,"606uatm, 31°C",X_F,1.002399684
SFPX21,F,P,X,21,17.5,108150000,7965642.297,700_28_1,700,28,T0,13.57705957,NA,0.665951756,10.08732114,1.27E-06,1.27,5.393831855,0.90346129,"674uatm, 28°C",X_F,NA
SFPX22,F,P,X,22,14.5,17400000,1593258.947,700_28_1,700,28,T30,10.92101195,0.001121533,0.81875807,10.83855604,6.80E-06,6.8,NA,NA,"674uatm, 28°C",X_F,1.388643491
SFPX24,F,P,X,24,9,7146000,482757.9682,700_28_1,700,28,T90,14.80244858,0.001140042,0.592807329,14.80836085,3.07E-05,30.7,6.942377607,1.996102955,"674uatm, 28°C",X_F,0.647242767
SFPX25,F,P,X,25,10.5,9744000,948454.2587,2800_31_1,2800,31,T0,10.27355817,NA,0.562122675,6.417967261,6.77E-06,6.77,3.809521422,1.001784158,"2917uatm, 31°C",X_F,NA
SFPX26,F,P,X,26,4.5,20880000,1608943.43,2800_31_1,2800,31,T30,12.97746062,0.000585271,0.187825652,3.026835616,1.88E-06,1.88,2.240770554,0.728062096,"2917uatm, 31°C",X_F,0.695738699
SFPX27,F,P,X,27,12.5,9375000,854464.3453,2800_31_1,2800,31,T90,10.97178607,0.000546631,0.313303593,3.755960948,4.40E-06,4.4,1.467932165,0,"2917uatm, 31°C",X_F,-0.028061875
SFPX28,F,P,X,28,66,9768000,669672.0011,2800_31_1,2800,31,T60,14.58624518,0.001048509,0.101808243,1.929576779,2.88E-06,2.88,0.110220441,0.233330994,"2917uatm, 31°C",X_F,0.401150672
SFPX30,F,P,X,30,21,33936000,2422802.031,2800_28_1,2800,28,T0,14.00692239,NA,0.587209651,8.538315321,3.52E-06,3.52,4.520282942,0.520377244,"2750uatm, 28°C",X_F,NA
SFPX32,F,P,X,32,8,8352000,623308.2496,2800_28_1,2800,28,T30,13.39946969,0.000659159,0.492556806,9.592833369,1.54E-05,15.4,2.465846893,0.356042736,"2750uatm, 28°C",X_F,0.768043272
SFPX33,F,P,X,33,70,46480000,4433254.64,700_28_1,700,28,T60,10.48439663,0.001859833,0.467361182,10.2194684,2.31E-06,2.31,1.464450201,0.540622453,"674uatm, 28°C",X_F,0.675692748
SFPX37,F,P,X,37,6.5,24843000,1810112.195,280_28_1,280,28,T30,13.72456363,0.00137843,0.56043069,9.506155786,5.25E-06,5.25,5.11369121,1.678103137,"358uatm, 28°C",X_F,1.318513215
SFPX6,F,P,X,6,8,38128000,2503771.666,280_28_1,280,28,T0,15.22822569,NA,0.472806231,8.302645533,3.32E-06,3.32,4.046061577,0.75107024,"358uatm, 28°C",X_F,NA
SFPX7,F,P,X,7,10,20560000,1313468.255,280_28_1,280,28,T90,15.65321425,0.001242424,0.622875267,20.83722837,1.59E-05,15.9,4.295525001,0.643853344,"358uatm, 28°C",X_F,1.183521396
SFPX9,F,P,X,9,20,20800000,1588170.374,400_31_1,400,31,T0,13.09683164,NA,0.547206139,8.167593734,5.14E-06,5.14,4.929015892,0.904437751,"424uatm, 31°C",X_F,NA
SFPZ10,F,S,Z,10,20,13640000,1435138.796,400_31_3,400,31,T30,9.504307204,0.000920353,0.263038636,5.424471126,3.78E-06,3.78,7.99649948,0.995897807,"424uatm, 31°C",Z_F,0.842174558
SFPZ11,F,S,Z,11,9,3168000,382141.8082,400_31_3,400,31,T90,8.290116213,0.000336466,0.103134863,4.780555421,1.25E-05,12.5,1.039584487,0.175471049,"424uatm, 31°C",Z_F,0.885236044
SFPZ12,F,S,Z,12,50,18200000,2048399.576,400_31_3,400,31,T60,8.884985239,0.001202741,NA,12.07884055,5.90E-06,5.9,NA,NA,"424uatm, 31°C",Z_F,0.295338034
SFPZ17,F,S,Z,17,11.5,39560000,3208953.774,700_31_2,700,31,T0,12.32800557,NA,0.303171505,2.176352034,6.78E-07,0.678,4.470238787,1.144283663,"606uatm, 31°C",Z_F,NA
SFPZ18,F,S,Z,18,7,25704000,2304619.091,700_31_3,700,31,T30,11.15325309,0.000706553,0.172595384,3.01877127,1.31E-06,1.31,2.004563583,0.774685041,"606uatm, 31°C",Z_F,1.010723692
SFPZ19,F,S,Z,19,14.5,12644000,1280460.889,700_31_3,700,31,T60,9.87456947,0.000720721,0.673025123,9.820588158,7.67E-06,7.67,4.420777544,1.159067683,"606uatm, 31°C",Z_F,0.450652559
