Coral_ID,person,rz,species,treat,treat_1,BW2,DW2,BW,DW
CNSA2,C,N,S,280_28_1,288_28,9.0597,20.7276,9059.7,20727.6
CNTA2,C,N,T,280_28_1,288_28,8.2004,19.1608,8200.4,19160.8
CFTC2,C,F,T,280_28_2,288_28,7.0822,17.1576,7082.2,17157.6
CNPC2,C,N,P,280_28_2,288_28,6.4232,21.7122,6423.2,21712.2
CNSC11,C,N,S,280_28_2,288_28,5.762,15.9002,5762,15900.2
CFSE2,C,F,S,280_28_3,288_28,7.2243,21.0718,7224.3,21071.8
CFTE2,C,F,T,280_28_3,288_28,3.7949,11.2287,3794.9,11228.7
CNAF2,C,N,A,280_28_3,288_28,6.9733,18.2724,6973.3,18272.4
CNSF2,C,N,S,280_28_3,288_28,8.4784,19.5848,8478.4,19584.8
SFPZ6,S,F,S,280_28_3,288_28,7.6412,19.2457,7641.2,19245.7
CFAB1,C,F,A,280_31_1,311_31,6.5705,18.1391,6570.5,18139.1
CFTA1,C,F,T,280_31_1,311_31,11.1675,23.9269,11167.5,23926.9
CFTB1,C,F,T,280_31_1,311_31,4.9899,13.1951,4989.9,13195.1
CNAA1,C,N,A,280_31_1,311_31,8.9762,21.8668,8976.2,21866.8
CNPB14,C,N,P,280_31_1,311_31,4.8781,16.8235,4878.1,16823.5
CNTA1,C,N,T,280_31_1,311_31,6.8723,15.8603,6872.3,15860.3
CNTA10,C,N,T,280_31_1,311_31,3.7194,11.8767,3719.4,11876.7
CFAD1,C,F,A,280_31_2,311_31,5.7505,16.966,5750.5,16966
CFPC1,C,F,P,280_31_2,311_31,4.6172,15.4964,4617.2,15496.4
CFPE20,C,F,P,280_31_2,311_31,9.1702,23.8992,9170.2,23899.2
CFSC1,C,F,S,280_31_2,311_31,5.748,15.3596,5748,15359.6
CFTC12,C,F,T,280_31_2,311_31,7.2068,17.2409,7206.8,17240.9
CNAD1,C,N,A,280_31_2,311_31,7.3659,19.1801,7365.9,19180.1
CNPC1,C,N,P,280_31_2,311_31,7.2464,19.9479,7246.4,19947.9
CNSC1,C,N,S,280_31_2,311_31,6.6654,16.6553,6665.4,16655.3
CNTC1,C,N,T,280_31_2,311_31,5.7714,14.3422,5771.4,14342.2
SFSY3,S,F,S,280_31_2,311_31,6.3771,16.1817,6377.1,16181.7
SNPY4,S,N,P,280_31_2,311_31,4.7214,21.5747,4721.4,21574.7
CFAF1,C,F,A,280_31_3,311_31,6.0368,18.3432,6036.8,18343.2
CFPE1,C,F,P,280_31_3,311_31,7.8039,18.6597,7803.9,18659.7
CFSF1,C,F,S,280_31_3,311_31,7.0746,16.258,7074.6,16258
CFTF13,C,F,T,280_31_3,311_31,7.7253,18.0239,7725.3,18023.9
CFTF18,C,F,T,280_31_3,311_31,2.1596,8.7865,2159.6,8786.5
CNAE1,C,N,A,280_31_3,311_31,5.492,15.7037,5492,15703.7
CNSE1,C,N,S,280_31_3,311_31,10.7578,24.1895,10757.8,24189.5
CNTC20,C,N,T,280_31_3,311_31,2.3475,9.0536,2347.5,9053.6
CNTF1,C,N,T,280_31_3,311_31,9.2032,22.1597,9203.2,22159.7
SFPZ4,S,F,S,280_31_3,311_31,7.4869,18.0157,7486.9,18015.7
SFPZ40,S,F,S,280_31_3,311_31,6.4917,15.4185,6491.7,15418.5
CFSB8,C,F,S,2800_28_1,3285_28,8.457,22.4026,8457,22402.6
CFTB13,C,F,T,2800_28_1,3285_28,4.8435,13.274,4843.5,13274
CNSA10,C,N,S,2800_28_1,3285_28,5.4726,14.1168,5472.6,14116.8
CNTA8,C,N,T,2800_28_1,3285_28,12.5846,27.6359,12584.6,27635.9
CFPE15,C,F,P,2800_28_2,3285_28,7.2472,19.0673,7247.2,19067.3
CFTD8,C,F,T,2800_28_2,3285_28,8.0378,19.1008,8037.8,19100.8
CNTC8,C,N,T,2800_28_2,3285_28,5.1528,13.3278,5152.8,13327.8
CNTC9,C,N,T,2800_28_2,3285_28,2.9546,10.3003,2954.6,10300.3
CFTE11,C,F,T,2800_28_3,3285_28,2.1149,8.411,2114.9,8411
CFTF10,C,F,T,2800_28_3,3285_28,9.0744,20.4523,9074.4,20452.3
CNTC11,C,N,T,2800_28_3,3285_28,4.8766,12.5067,4876.6,12506.7
CNTC14,C,N,T,2800_28_3,3285_28,2.9021,10.0974,2902.1,10097.4
SFPZ41,S,F,S,2800_28_3,3285_28,6.3268,17.3241,6326.8,17324.1
CFAA7,C,F,A,2800_31_1,3309_31,6.7324,17.0984,6732.4,17098.4
CFTA7,C,F,T,2800_31_1,3309_31,10.3092,23.098,10309.2,23098
CFTB7,C,F,T,2800_31_1,3309_31,4.3025,11.8658,4302.5,11865.8
CNAB7,C,N,A,2800_31_1,3309_31,8.5494,19.4028,8549.4,19402.8
CNPA7,C,N,P,2800_31_1,3309_31,7.4223,17.6609,7422.3,17660.9
CNTA9,C,N,T,2800_31_1,3309_31,6.3596,15.6116,6359.6,15611.6
CNTB14,C,N,T,2800_31_1,3309_31,3.1588,10.241,3158.8,10241
CFAC7,C,F,A,2800_31_2,3309_31,5.2999,14.825,5299.9,14825
CFAD7,C,F,A,2800_31_2,3309_31,5.1399,14.2235,5139.9,14223.5
CFPC7,C,F,P,2800_31_2,3309_31,6.3534,19.2491,6353.4,19249.1
CFPE16,C,F,P,2800_31_2,3309_31,7.8169,18.1311,7816.9,18131.1
CFTD7,C,F,T,2800_31_2,3309_31,7.5892,18.1669,7589.2,18166.9
CNAC7,C,N,A,2800_31_2,3309_31,5.5569,17.7738,5556.9,17773.8
CNPC14,C,N,P,2800_31_2,3309_31,6.3646,18.1775,6364.6,18177.5
CNTA12,C,N,T,2800_31_2,3309_31,3.0621,9.9999,3062.1,9999.9
CNTC7,C,N,T,2800_31_2,3309_31,3.0779,10.4566,3077.9,10456.6
CNTD7,C,N,T,2800_31_2,3309_31,3.1233,10.352,3123.3,10352
SFSY26,S,F,S,2800_31_2,3309_31,6.5541,18.427,6554.1,18427
CFAE7,C,F,A,2800_31_3,3309_31,8.3459,20.7341,8345.9,20734.1
CFAF7,C,F,A,2800_31_3,3309_31,4.9508,13.5684,4950.8,13568.4
CFPE7,C,F,P,2800_31_3,3309_31,7.091,18.7234,7091,18723.4
