id,tank,pco2,temp,spp,rz,gen,sur_area,time,Growthmg.cm2.day
SFPZ1,280_31_3,280,31,S,F,Z,10.31688122,T30,NA
SFPZ10,400_31_3,400,31,S,F,Z,9.504307204,T30,0.842174558
SFPZ11,400_31_3,400,31,S,F,Z,8.290116213,T30,-0.017423694
SFPZ12,400_31_3,400,31,S,F,Z,8.884985239,T30,2.10123528
SFPZ13,400_28_3,400,28,S,F,Z,13.92064158,T30,NA
SFPZ17,700_31_3,700,31,S,F,Z,12.32800557,T30,NA
SFPZ18,700_31_3,700,31,S,F,Z,11.15325309,T30,1.010723692
SFPZ19,700_31_3,700,31,S,F,Z,9.87456947,T30,1.095908197
SFPZ20,700_31_3,700,31,S,F,Z,9.774347119,T30,1.128712977
SFPZ21,700_28_3,700,28,S,F,Z,9.663482864,T30,NA
SFPZ22,700_28_3,700,28,S,F,Z,NA,T30,NA
SFPZ23,700_28_3,700,28,S,F,Z,11.3218507,T30,0.565668276
SFPZ24,700_28_3,700,28,S,F,Z,9.683910216,T30,0.564940526
SFPZ25,280_31_3,280,31,S,F,Z,11.93075555,T30,NA
SFPZ26,400_28_3,400,28,S,F,Z,NA,T30,NA
SFPZ27,2800_31_3,2800,31,S,F,Z,9.403208735,T30,1.126556215
SFPZ28,2800_31_3,2800,31,S,F,Z,11.99463361,T30,1.306957019
SFPZ3,280_31_3,280,31,S,F,Z,10.44644889,T30,0.914319209
SFPZ31,2800_28_3,2800,28,S,F,Z,8.609650371,T30,NA
SFPZ32,2800_28_3,2800,28,S,F,Z,10.92071846,T30,NA
SFPZ35,400_31_3,400,31,S,F,Z,11.16895083,T30,NA
SFPZ37,2800_31_3,2800,31,S,F,Z,11.76011829,T30,1.165184088
SFPZ39,2800_31_3,2800,31,S,F,Z,11.06321455,T30,NA
SFPZ4,280_31_3,280,31,S,F,Z,NA,T30,NA
SFPZ40,280_31_3,280,31,S,F,Z,NA,T30,NA
SFPZ41,2800_28_3,2800,28,S,F,Z,NA,T30,NA
SFPZ42,280_28_3,280,28,S,F,Z,12.1252899,T30,NA
SFPZ43,2800_28_3,2800,28,S,F,Z,12.15526296,T30,0.136657768
SFPZ46,400_28_3,400,28,S,F,Z,7.538313942,T30,0.764277487
SFPZ48,400_28_3,400,28,S,F,Z,8.647031049,T30,0.962179961
SFPZ49,2800_28_3,2800,28,S,F,Z,8.64254529,T30,0.184604708
SFPZ5,280_28_3,280,28,S,F,Z,8.411733525,T30,NA
SFPZ6,280_28_3,280,28,S,F,Z,NA,T30,NA
SFPZ7,280_28_3,280,28,S,F,Z,10.70171051,T30,1.513524149
SFPZ8,280_28_3,280,28,S,F,Z,10.61037194,T30,0.874668259
SFSX1,280_31_1,280,31,S,F,X,11.02470952,T30,NA
SFSX10,400_31_1,400,31,S,F,X,13.31122949,T30,0.75009767
SFSX11,400_31_1,400,31,S,F,X,11.66394351,T30,1.323125162
SFSX12,400_31_1,400,31,S,F,X,8.967255238,T30,1.018830274
SFSX17,700_31_1,700,31,S,F,X,9.422301038,T30,0.663750185
SFSX18,700_31_1,700,31,S,F,X,10.42743389,T30,1.264521494
SFSX19,700_31_1,700,31,S,F,X,10.3143505,T30,0.839685525
SFSX2,280_31_1,280,31,S,F,X,10.38238125,T30,1.697319892
SFSX20,700_31_1,700,31,S,F,X,10.86728915,T30,NA
SFSX21,700_28_1,700,28,S,F,X,9.990745941,T30,NA
SFSX22,700_28_1,700,28,S,F,X,12.54470451,T30,0.591551067
SFSX23,700_28_1,700,28,S,F,X,9.02878928,T30,0.507943088
SFSX24,700_28_1,700,28,S,F,X,9.108383861,T30,0.298044738
SFSX25,2800_31_1,2800,31,S,F,X,9.990660988,T30,NA
SFSX26,2800_31_1,2800,31,S,F,X,10.95054852,T30,0.948075288
SFSX27,2800_31_1,2800,31,S,F,X,11.78878484,T30,0.972558065
SFSX28,2800_31_1,2800,31,S,F,X,9.403120581,T30,0.711591052
SFSX29,2800_28_1,2800,28,S,F,X,9.614402511,T30,NA
SFSX3,280_31_1,280,31,S,F,X,10.26791626,T30,1.461124373
SFSX30,2800_28_1,2800,28,S,F,X,9.437117689,T30,0.018615395
SFSX31,2800_28_1,2800,28,S,F,X,10.65095416,T30,0.196277301
SFSX32,2800_28_1,2800,28,S,F,X,11.25583127,T30,0.489158217
SFSX37,400_28_1,400,28,S,F,X,12.80567261,T30,0.035531129
SFSX39,400_28_1,400,28,S,F,X,10.06501398,T30,0.490221963
SFSX4,280_31_1,280,31,S,F,X,11.74422474,T30,2.439727043
SFSX40,400_28_1,400,28,S,F,X,9.308985558,T30,0.03173864
SFSX5,280_28_1,280,28,S,F,X,11.01166721,T30,NA
SFSX6,280_28_1,280,28,S,F,X,13.0493365,T30,0.965779201
SFSX7,280_28_1,280,28,S,F,X,NA,T30,NA
SFSX8,280_28_1,280,28,S,F,X,11.02098015,T30,0.975534953
SFSX9,400_31_1,400,31,S,F,X,13.79665482,T30,NA
SFSY1,280_31_2,280,31,S,F,Y,10.788036,T30,NA
SFSY10,400_31_2,400,31,S,F,Y,11.44645912,T30,1.484326078
SFSY11,400_31_2,400,31,S,F,Y,10.61349035,T30,1.423895392
SFSY12,400_31_2,400,31,S,F,Y,10.21421936,T30,1.223644313
SFSY17,700_31_2,700,31,S,F,Y,9.172896227,T30,NA
SFSY18,700_31_2,700,31,S,F,Y,10.12965156,T30,1.820985237
SFSY19,700_31_2,700,31,S,F,Y,7.727034385,T30,1.302726986
SFSY2,280_31_2,280,31,S,F,Y,11.04069463,T30,1.753110307
SFSY20,700_31_2,700,31,S,F,Y,11.08881017,T30,0.896012659
SFSY21,700_28_2,700,28,S,F,Y,9.249863135,T30,NA
SFSY22,700_28_2,700,28,S,F,Y,10.54056056,T30,1.786616977
SFSY23,700_28_2,700,28,S,F,Y,10.54019584,T30,1.091898453
SFSY24,700_28_2,700,28,S,F,Y,11.40582037,T30,1.059035324
SFSY25,2800_31_2,2800,31,S,F,Y,11.09795986,T30,NA
SFSY26,2800_31_2,2800,31,S,F,Y,NA,T30,NA
SFSY27,2800_31_2,2800,31,S,F,Y,10.8970979,T30,0.69999749
SFSY28,2800_31_2,2800,31,S,F,Y,9.804100241,T30,1.338518849
SFSY29,2800_28_2,2800,28,S,F,Y,11.20523125,T30,NA
SFSY3,280_31_2,280,31,S,F,Y,NA,T30,NA
SFSY30,2800_28_2,2800,28,S,F,Y,9.69539863,T30,0.654646505
SFSY32,2800_28_2,2800,28,S,F,Y,12.93495005,T30,1.062071194
SFSY35,280_31_2,280,31,S,F,Y,6.815652027,T30,NA
SFSY39,400_28_2,400,28,S,F,Y,12.2251075,T30,1.114137814
SFSY4,280_31_2,280,31,S,F,Y,7.241816945,T30,2.47328968
SFSY46,400_28_2,400,28,S,F,Y,7.830324629,T30,0.626352761
SFSY5,280_28_2,280,28,S,F,Y,9.785979148,T30,NA
SFSY54,2800_28_2,2800,28,S,F,Y,5.725161887,T30,0.87758642
SFSY6,280_28_2,280,28,S,F,Y,11.44768815,T30,1.190803267
SFSY61,400_28_2,400,28,S,F,Y,12.56532312,T30,1.285482263
SFSY7,280_28_2,280,28,S,F,Y,NA,T30,NA
SFSY8,280_28_2,280,28,S,F,Y,12.79958159,T30,1.05408851
SFSY9,400_31_2,400,31,S,F,Y,12.22443425,T30,NA
SNSX1,280_31_1,280,31,S,N,X,8.974755724,T30,NA
SNSX10,400_31_1,400,31,S,N,X,11.30734868,T30,0.059081538
SNSX11,400_31_1,400,31,S,N,X,10.74735655,T30,1.197503771
SNSX12,400_31_1,400,31,S,N,X,8.221233968,T30,0.909230905
SNSX17,700_31_1,700,31,S,N,X,9.796245036,T30,NA
SNSX18,700_31_1,700,31,S,N,X,11.49313411,T30,1.543157342
SNSX19,700_31_1,700,31,S,N,X,13.07542816,T30,1.577334529
SNSX2,280_31_1,280,31,S,N,X,6.087734992,T30,3.791850962
SNSX20,700_31_1,700,31,S,N,X,10.36689316,T30,1.728475315
SNSX21,700_28_1,700,28,S,N,X,9.497533826,T30,NA
SNSX22,700_28_1,700,28,S,N,X,11.30657827,T30,1.633636003
SNSX23,700_28_1,700,28,S,N,X,10.53825664,T30,1.881240956
SNSX24,700_28_1,700,28,S,N,X,8.877983162,T30,1.045345028
SNSX25,2800_31_1,2800,31,S,N,X,11.20202769,T30,NA
SNSX26,2800_31_1,2800,31,S,N,X,12.19297825,T30,0.863315646
SNSX27,2800_31_1,2800,31,S,N,X,9.759642072,T30,1.077365933
SNSX28,2800_31_1,2800,31,S,N,X,10.96984002,T30,0.90196798
SNSX29,2800_28_1,2800,28,S,N,X,10.87708244,T30,NA
SNSX3,280_31_1,280,31,S,N,X,10.41164323,T30,2.734785517
SNSX30,2800_28_1,2800,28,S,N,X,9.014287087,T30,0.305970742
SNSX31,2800_28_1,2800,28,S,N,X,9.183660091,T30,-0.059300387
SNSX32,2800_28_1,2800,28,S,N,X,8.658544355,T30,0.51666068
SNSX37,400_28_1,400,28,S,N,X,10.6928288,T30,0.837222114
SNSX38,400_28_1,400,28,S,N,X,12.6879686,T30,0.789402103
SNSX4,280_31_1,280,31,S,N,X,9.533569619,T30,3.609861389
SNSX40,400_28_1,400,28,S,N,X,9.663371319,T30,0.551567339
SNSX5,280_28_1,280,28,S,N,X,9.796247799,T30,NA
SNSX6,280_28_1,280,28,S,N,X,9.704965771,T30,1.846366009
SNSX7,280_28_1,280,28,S,N,X,10.43450467,T30,1.58847981
SNSX8,280_28_1,280,28,S,N,X,14.28425791,T30,1.627098309
SNSX9,400_31_1,400,31,S,N,X,9.786817778,T30,NA
SNSY1,400_31_2,400,31,S,N,Y,7.942647586,T30,NA
SNSY10,400_31_2,400,31,S,N,Y,NA,T30,NA
SNSY11,400_31_2,400,31,S,N,Y,12.48091936,T30,0.257504179
SNSY12,400_31_2,400,31,S,N,Y,NA,T30,NA
