date,tp,treat,temp,pco2,mpco2,mtemp,sal,pHm,alk,dic,pHc,hco3,co2,co3,sat
10-Aug-15,T0,358_28,28,358,491.7,28.53333333,31.957,8.063079777,1888.5,1687.5,8.057,1530.9,13.5,143.1,2.32
10-Aug-15,T0,358_28,28,358,550.8,28,31.957,8.057513915,1888.5,1689.7,8.02,1532.8,14.2,142.7,2.34
10-Aug-15,T0,358_28,28,358,549,28.3,31.957,8.063079777,1888.5,1687.3,8.021,1529,14,144.3,2.37
10-Aug-15,T0,325_31,31,325,437.1,30.8,31.72366667,8.17816092,1862.8,1611.7,8.102,1426.5,10.5,174.8,2.92
10-Aug-15,T0,325_31,31,325,418.1,30.9,31.757,8.195402299,1862.8,1603,8.117,1412.9,10,180.1,3.01
10-Aug-15,T0,325_31,31,325,399.7,31,31.757,8.212643678,1862.8,1594.2,8.133,1399.2,9.5,185.5,3.11
10-Aug-15,T0,424_31,31,424,484.2,31.2,32.09033333,8.149425287,1879.9,1639,8.068,1458.6,11.5,169,2.83
10-Aug-15,T0,424_31,31,424,519.3,31.4,32.357,8.126436782,1879.9,1648.5,8.042,1473.3,12.2,163,2.72
10-Aug-15,T0,424_31,31,424,485.2,31.3,32.357,8.149425287,1879.9,1637.4,8.066,1456.2,11.4,169.7,2.84
10-Aug-15,T0,471_28,28,471,595.9,29.4,31.557,8.06864564,1977.6,1770.1,8.012,1603.2,14.8,152,2.52
10-Aug-15,T0,471_28,28,471,614.2,29.4,31.72366667,8.057513915,1977.6,1774.4,8.001,1609.9,15.3,149.2,2.47
10-Aug-15,T0,471_28,28,471,642.3,29.4,31.757,8.040816327,1977.6,1781.7,7.984,1621,15.9,144.8,2.4
10-Aug-15,T0,674_28,28,674,722.5,28.1,31.62366667,7.957328386,1874.4,1720.2,7.918,1585.5,18.6,116.1,1.91
10-Aug-15,T0,674_28,28,674,708.2,28,31.757,7.962894249,1874.4,1717.4,7.925,1581.5,18.2,117.7,1.93
10-Aug-15,T0,674_28,28,674,740.8,28.4,31.757,7.951762523,1874.4,1721.7,7.909,1587.5,18.9,115.3,1.9
10-Aug-15,T0,606_31,31,606,513,31,31.89033333,8.137931034,1936.3,1697.5,8.059,1515.3,12.2,170,2.84
10-Aug-15,T0,606_31,31,606,506.9,31.1,31.89033333,8.143678161,1936.3,1694.7,8.064,1510.9,12,171.8,2.87
10-Aug-15,T0,606_31,31,606,497.3,31,31.82366667,8.149425287,1936.3,1692.3,8.071,1507.2,11.9,173.3,2.9
10-Aug-15,T0,2750_28,28,2750,1949.1,28.9,31.89033333,7.589981447,1951.7,1915.7,7.547,1808.4,49,58.3,0.96
10-Aug-15,T0,2750_28,28,2750,1962.8,29.1,31.89033333,7.589981447,1951.7,1915.7,7.545,1808.2,49.1,58.4,0.96
10-Aug-15,T0,2750_28,28,2750,1904.7,29,31.857,7.601113173,1951.7,1912.5,7.557,1805.1,47.8,59.6,0.99
10-Aug-15,T0,2917_31,31,2917,1968.9,31.5,32.22366667,7.574712644,1750.6,1718.3,7.506,1620,46.2,52,0.87
10-Aug-15,T0,2917_31,31,2917,1928.6,31.3,32.257,7.58045977,1750.6,1716.6,7.513,1618.5,45.5,52.6,0.88
